efta_number,dataset,total_pages,match_type
EFTA00816604,9,1,TO_WOLFF
EFTA00816633,9,1,FROM_WOLFF
EFTA00816652,9,1,TO_WOLFF
EFTA00816656,9,1,FROM_WOLFF
EFTA00816659,9,1,TO_WOLFF
EFTA00816799,9,2,TO_WOLFF
EFTA00816801,9,2,TO_WOLFF
EFTA00816803,9,2,TO_WOLFF
EFTA00816805,9,2,TO_WOLFF
EFTA00817147,9,1,FROM_WOLFF
EFTA00817318,9,1,FROM_WOLFF
EFTA00817320,9,1,TO_WOLFF
EFTA00817321,9,1,FROM_WOLFF
EFTA00817418,9,1,TO_WOLFF
EFTA00817438,9,1,TO_WOLFF
EFTA00817481,9,1,TO_WOLFF
EFTA00817702,9,1,TO_WOLFF
EFTA00817710,9,1,TO_WOLFF
EFTA00817723,9,1,FROM_WOLFF
EFTA00817726,9,1,TO_WOLFF
EFTA00817973,9,1,TO_WOLFF
EFTA00817976,9,1,FROM_WOLFF
EFTA00817977,9,1,TO_WOLFF
EFTA00818026,9,1,TO_WOLFF
EFTA00818027,9,1,TO_WOLFF
EFTA00818631,9,1,TO_WOLFF
EFTA00819248,9,1,TO_WOLFF
EFTA00821185,9,7,FROM+TO
EFTA00821984,9,1,TO_WOLFF
EFTA00822006,9,1,FROM_WOLFF
EFTA00822022,9,1,TO_WOLFF
EFTA00822219,9,1,TO_WOLFF
EFTA00822543,9,5,FROM+TO
EFTA00822605,9,1,TO_WOLFF
EFTA00824250,9,1,TO_WOLFF
EFTA00824473,9,1,TO_WOLFF
EFTA00824493,9,1,FROM_WOLFF
EFTA00826803,9,1,TO_WOLFF
EFTA00826937,9,3,TO_WOLFF
EFTA00826976,9,3,FROM_WOLFF
EFTA00827544,9,1,TO_WOLFF
EFTA00827640,9,1,TO_WOLFF
EFTA00828030,9,1,TO_WOLFF
EFTA00828501,9,2,FROM_WOLFF
EFTA00828503,9,3,TO_WOLFF
EFTA00828563,9,2,TO_WOLFF
EFTA00829423,9,1,TO_WOLFF
EFTA00830196,9,1,TO_WOLFF
EFTA00831392,9,2,FROM_WOLFF
EFTA00831397,9,2,FROM_WOLFF
EFTA00831454,9,1,TO_WOLFF
EFTA00831455,9,1,FROM_WOLFF
EFTA00831521,9,1,TO_WOLFF
EFTA00831573,9,3,FROM+TO
EFTA00831610,9,1,TO_WOLFF
EFTA00832008,9,1,TO_WOLFF
EFTA00832022,9,1,TO_WOLFF
EFTA00832023,9,1,FROM_WOLFF
EFTA00832199,9,1,TO_WOLFF
EFTA00832200,9,1,FROM_WOLFF
EFTA00833294,9,2,TO_WOLFF
EFTA00833380,9,1,TO_WOLFF
EFTA00833389,9,2,FROM_WOLFF
EFTA00833422,9,1,TO_WOLFF
EFTA00835130,9,1,TO_WOLFF
EFTA00835144,9,1,FROM_WOLFF
EFTA00835154,9,1,TO_WOLFF
EFTA00836180,9,2,TO_WOLFF
EFTA00836231,9,1,TO_WOLFF
EFTA00836275,9,1,TO_WOLFF
EFTA00839148,9,2,TO_WOLFF
EFTA00839150,9,2,TO_WOLFF
EFTA00839258,9,1,TO_WOLFF
EFTA00839583,9,1,TO_WOLFF
EFTA00840695,9,2,TO_WOLFF
EFTA00840753,9,1,FROM_WOLFF
EFTA00840838,9,3,FROM_WOLFF
EFTA00840863,9,1,TO_WOLFF
EFTA00841715,9,1,FROM_WOLFF
EFTA00841716,9,1,TO_WOLFF
EFTA00841717,9,1,FROM_WOLFF
EFTA00841877,9,1,TO_WOLFF
EFTA00843647,9,2,TO_WOLFF
EFTA00845702,9,1,TO_WOLFF
EFTA00845716,9,2,TO_WOLFF
EFTA00847191,9,1,TO_WOLFF
EFTA00847231,9,1,TO_WOLFF
EFTA00848104,9,1,TO_WOLFF
EFTA00848105,9,1,FROM_WOLFF
EFTA00848184,9,1,TO_WOLFF
EFTA00848734,9,2,TO_WOLFF
EFTA00848754,9,2,FROM_WOLFF
EFTA00849130,9,2,TO_WOLFF
EFTA00850374,9,1,TO_WOLFF
EFTA00850375,9,1,TO_WOLFF
EFTA00851767,9,1,TO_WOLFF
EFTA00852789,9,1,TO_WOLFF
EFTA00853787,9,1,TO_WOLFF
EFTA00853788,9,1,FROM_WOLFF
EFTA00854024,9,1,TO_WOLFF
EFTA00854039,9,1,FROM_WOLFF
EFTA00854040,9,1,TO_WOLFF
EFTA00854491,9,1,TO_WOLFF
EFTA00854570,9,1,FROM_WOLFF
EFTA00854583,9,1,TO_WOLFF
EFTA00855281,9,1,FROM_WOLFF
EFTA00856352,9,3,TO_WOLFF
EFTA00857615,9,1,FROM_WOLFF
EFTA00857627,9,1,TO_WOLFF
EFTA00857635,9,1,FROM_WOLFF
EFTA00857684,9,1,TO_WOLFF
EFTA00857730,9,2,FROM_WOLFF
EFTA00858338,9,2,TO_WOLFF
EFTA00858436,9,1,TO_WOLFF
EFTA00859431,9,1,FROM_WOLFF
EFTA00860124,9,1,TO_WOLFF
EFTA00860216,9,1,TO_WOLFF
EFTA00860299,9,1,TO_WOLFF
EFTA00860794,9,1,TO_WOLFF
EFTA00860798,9,1,TO_WOLFF
EFTA00860799,9,1,FROM_WOLFF
EFTA00860832,9,2,TO_WOLFF
EFTA00860834,9,1,TO_WOLFF
EFTA00860835,9,3,TO_WOLFF
EFTA00860838,9,1,TO_WOLFF
EFTA00860839,9,1,TO_WOLFF
EFTA00860924,9,1,TO_WOLFF
EFTA00860944,9,1,TO_WOLFF
EFTA00860946,9,1,TO_WOLFF
EFTA00861017,9,1,FROM_WOLFF
EFTA00861037,9,1,FROM_WOLFF
EFTA00861045,9,2,FROM_WOLFF
EFTA00861062,9,2,FROM_WOLFF
EFTA00861064,9,2,FROM_WOLFF
EFTA00861067,9,2,FROM_WOLFF
EFTA00861078,9,2,FROM_WOLFF
EFTA00861080,9,2,FROM_WOLFF
EFTA00861082,9,3,FROM_WOLFF
EFTA00861184,9,1,TO_WOLFF
EFTA00861242,9,2,TO_WOLFF
EFTA00861931,9,1,TO_WOLFF
EFTA00862505,9,1,TO_WOLFF
EFTA00862508,9,1,TO_WOLFF
EFTA00862717,9,1,TO_WOLFF
EFTA00862736,9,1,FROM_WOLFF
EFTA00862875,9,1,TO_WOLFF
EFTA00863024,9,1,TO_WOLFF
EFTA00863026,9,1,FROM_WOLFF
EFTA00863027,9,1,TO_WOLFF
EFTA00863028,9,2,TO_WOLFF
EFTA00863044,9,2,FROM_WOLFF
EFTA00863046,9,2,TO_WOLFF
EFTA00863378,9,1,TO_WOLFF
EFTA00863383,9,1,TO_WOLFF
EFTA00863388,9,1,TO_WOLFF
EFTA00863390,9,2,TO_WOLFF
EFTA00863405,9,1,TO_WOLFF
EFTA00863410,9,1,TO_WOLFF
EFTA00863411,9,1,FROM_WOLFF
EFTA00863477,9,1,TO_WOLFF
EFTA00863478,9,2,FROM_WOLFF
EFTA00863502,9,1,TO_WOLFF
EFTA00863606,9,1,TO_WOLFF
EFTA00863668,9,1,TO_WOLFF
EFTA00863914,9,2,FROM_WOLFF
EFTA00864016,9,2,FROM_WOLFF
EFTA00864026,9,1,TO_WOLFF
EFTA00864037,9,1,FROM_WOLFF
EFTA00864208,9,1,TO_WOLFF
EFTA00864278,9,1,TO_WOLFF
EFTA00864386,9,1,TO_WOLFF
EFTA00864629,9,1,TO_WOLFF
EFTA00864632,9,1,TO_WOLFF
EFTA00864750,9,1,FROM_WOLFF
EFTA00864847,9,2,FROM+TO
EFTA00864888,9,1,TO_WOLFF
