bates_number,status
HOUSE_OVERSIGHT_010140,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010141,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010142,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010143,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010144,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010145,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010146,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010147,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010148,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010149,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010150,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010151,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010152,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010153,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010154,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010155,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010156,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010157,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010158,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010159,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010160,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010161,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010162,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010163,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010164,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010165,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010166,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010167,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010168,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010169,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010170,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010171,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010172,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010173,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010174,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010175,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010176,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010177,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010178,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010179,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010180,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010181,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010182,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010183,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010184,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010185,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010186,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010187,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010188,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010189,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010190,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010191,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010192,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010193,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010194,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010195,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010196,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010197,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010198,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010199,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010200,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010201,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010202,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010203,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010204,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010205,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010206,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010207,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010208,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010209,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010210,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010211,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010212,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010213,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010214,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010215,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010216,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010217,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010218,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010219,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010220,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010221,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010222,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010223,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010224,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010225,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010226,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010227,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010228,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010229,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010230,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010231,produced to House Oversight; not posted publicly
